Neighborhood,Latitude,Longitude,,,,,,
Belltown,47.6147,-122.3448,,,,,,
Broadmoor,47.6362,-122.2898,,,,,,
Capitol Hill,47.6253,-122.3222,,,,,,
Central District,47.6088,-122.2964,,,,,,
Denny-Blaine,47.6178,-122.2758,,,,,,
Downtown,47.605,-122.3344,,,,,,
Eastlake,47.6418,-122.3265,,,,,,
First Hill,47.6094,-122.3250,,,,,,
International District,47.5987,-122.3240,,,,,,
Leschi,47.6003,-122.2928,,,,,,
Madison Park,47.6346,-122.2796,,,,,,
Madison Valley,47.6233,-122.2964,,,,,,
Madrona,47.6139,-122.2887,,,,,,
Montlake,47.6416,-122.3050,,,,,,
Pioneer Square,47.6015,-122.3343,,,,,,
South Lake Union,47.6256,-122.3344,,,,,,
Bryant,47.6706,-122.2871,,,,,,
Hawthorne Hills,47.6722,-122.2730,,,,,,
Lake City,47.7193,-122.2953,,,,,,
Laurelhurst,47.6602,-122.2810,,,,,,
Maple Leaf,47.6975,-122.3192,,,,,,
Matthews Beach,47.6959,-122.2762,,,,,,
Northgate,47.7086,-122.3232,,,,,,
Ravenna,47.6759,-122.3009,,,,,,
Roosevelt,47.6781,-122.3156,,,,,,
U-District,47.6628,-122.3156,,,,,,
View Ridge,47.6844,-122.2738,,,,,,
Wedgwood,47.6901,-122.2905,,,,,,
Windermere,47.6705,-122.2657,,,,,,
Ballard,47.6792,-122.3860,,,,,,
Blue Ridge/North Beach,47.6983,-122.3865,,,,,,
Broadview,47.7207,-122.3675,,,,,,
Crown Hill,47.6961,-122.3718,,,,,,
Fremont,47.6542,-122.3500,,,,,,
Green Lake,47.6798,-122.3258,,,,,,
Greenwood,47.6907,-122.3553,,,,,,
Haller Lake,47.7197,-122.3333,,,,,,
Loyal Heights,47.6822,-122.3851,,,,,,
Magnolia,47.6396,-122.3997,,,,,,
Phinney Ridge,47.6761,-122.3542,,,,,,
Queen Anne,47.6323,-122.3569,,,,,,
Wallingford,47.6614,-122.3421,,,,,,
Westlake,47.6322,-122.3416,,,,,,
Whittier Heights,47.6831,-122.3695,,,,,,
Beacon Hill,47.5526,-122.3009,,,,,,
Columbia City,47.5608,-122.2870,,,,,,
Georgetown,47.5475,-122.3215,,,,,,
Mount Baker,47.5784,-122.2930,,,,,,
Rainier Beach,47.5123,-122.2640,,,,,,
Seward Park,47.5503,-122.2649,,,,,,
South Park,47.5265,-122.3244,,,,,,
Admiral,47.5812,-122.3866,,,,,,
Alki,47.5755,-122.4107,,,,,,
Fauntleroy,47.524,-122.3830,,,,,,
Junction,47.5611,-122.3868,,,,,,